,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Brown,zbxlv,House,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Black,rjdnv,Plane,Boat,match,0,1
3,Blue,qxsw,Boat,Bone,match,0,1
4,Pink,mtpv,Lamp,Bow,match,0,1
5,Black,rjdnv,Plane,Cane,match,0,1
6,Blue,qxsw,Boat,Car,match,0,1
7,Pink,mtpv,Lamp,Cross,match,0,1
8,Blue,qxsw,Boat,Cup,match,0,1
9,Red,xkq,Cup,Disc,match,0,1
10,Brown,zbxlv,House,Flag,match,0,1
11,Red,xkq,Cup,Fork,match,0,1
12,Blue,qxsw,Boat,Hand,match,0,1
13,Red,xkq,Cup,Heart,match,0,1
14,Red,xkq,Cup,House,match,0,1
15,Red,xkq,Cup,Key,match,0,1
16,Black,rjdnv,Plane,Lamp,match,0,1
17,Pink,mtpv,Lamp,Leaf,match,0,1
18,Pink,mtpv,Lamp,Lock,match,0,1
19,Green,wvcnz,Cross,Note,match,0,1
20,Green,wvcnz,Cross,Plane,match,0,1
21,Green,wvcnz,Cross,Shoe,match,0,1
22,Brown,zbxlv,House,Square,match,0,1
23,Brown,zbxlv,House,Star,match,0,1
24,Black,rjdnv,Plane,Tree,match,0,1
25,Red,xkq,Cup,Bag,match,0,2
26,Pink,mtpv,Lamp,Bell,match,0,2
27,Red,xkq,Cup,Boat,match,0,2
28,Brown,zbxlv,House,Bone,match,0,2
29,Blue,qxsw,Boat,Bow,match,0,2
30,Pink,mtpv,Lamp,Cane,match,0,2
31,Brown,zbxlv,House,Car,match,0,2
32,Blue,qxsw,Boat,Cross,match,0,2
33,Brown,zbxlv,House,Cup,match,0,2
34,Green,wvcnz,Cross,Disc,match,0,2
35,Green,wvcnz,Cross,Flag,match,0,2
36,Black,rjdnv,Plane,Fork,match,0,2
37,Pink,mtpv,Lamp,Hand,match,0,2
38,Blue,qxsw,Boat,Heart,match,0,2
39,Red,xkq,Cup,House,match,0,2
40,Blue,qxsw,Boat,Key,match,0,2
41,Black,rjdnv,Plane,Lamp,match,0,2
42,Pink,mtpv,Lamp,Leaf,match,0,2
43,Green,wvcnz,Cross,Lock,match,0,2
44,Red,xkq,Cup,Note,match,0,2
45,Green,wvcnz,Cross,Plane,match,0,2
46,Brown,zbxlv,House,Shoe,match,0,2
47,Black,rjdnv,Plane,Square,match,0,2
48,Black,rjdnv,Plane,Star,match,0,2
49,Red,xkq,Cup,Tree,match,0,2
50,Blue,qxsw,Boat,Bag,mismatch,1,0
51,Pink,mtpv,Lamp,Bell,mismatch,1,0
52,Pink,mtpv,Lamp,Boat,mismatch,1,0
53,Red,xkq,Cup,Bone,mismatch,1,0
54,Brown,zbxlv,House,Bow,mismatch,1,0
55,Black,rjdnv,Plane,Cane,mismatch,1,0
56,Red,xkq,Cup,Car,mismatch,1,0
57,Brown,zbxlv,House,Cross,mismatch,1,0
58,Brown,zbxlv,House,Cup,mismatch,1,0
59,Pink,mtpv,Lamp,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Green,wvcnz,Cross,Fork,mismatch,1,0
62,Black,rjdnv,Plane,Hand,mismatch,1,0
63,Pink,mtpv,Lamp,Heart,mismatch,1,0
64,Blue,qxsw,Boat,House,mismatch,1,0
65,Brown,zbxlv,House,Key,mismatch,1,0
66,Green,wvcnz,Cross,Lamp,mismatch,1,0
67,Black,rjdnv,Plane,Leaf,mismatch,1,0
68,Blue,qxsw,Boat,Lock,mismatch,1,0
69,Black,rjdnv,Plane,Note,mismatch,1,0
70,Red,xkq,Cup,Plane,mismatch,1,0
71,Red,xkq,Cup,Shoe,mismatch,1,0
72,Green,wvcnz,Cross,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Blue,qxsw,Boat,Tree,mismatch,1,0
75,Blue,qxsw,Boat,Bag,mismatch,2,0
76,Brown,zbxlv,House,Bell,mismatch,2,0
77,Pink,mtpv,Lamp,Boat,mismatch,2,0
78,Blue,qxsw,Boat,Bone,mismatch,2,0
79,Red,xkq,Cup,Bow,mismatch,2,0
80,Brown,zbxlv,House,Cane,mismatch,2,0
81,Black,rjdnv,Plane,Car,mismatch,2,0
82,Red,xkq,Cup,Cross,mismatch,2,0
83,Green,wvcnz,Cross,Cup,mismatch,2,0
84,Black,rjdnv,Plane,Disc,mismatch,2,0
85,Black,rjdnv,Plane,Flag,mismatch,2,0
86,Brown,zbxlv,House,Fork,mismatch,2,0
87,Red,xkq,Cup,Hand,mismatch,2,0
88,Pink,mtpv,Lamp,Heart,mismatch,2,0
89,Pink,mtpv,Lamp,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Blue,qxsw,Boat,Lamp,mismatch,2,0
92,Green,wvcnz,Cross,Leaf,mismatch,2,0
93,Red,xkq,Cup,Lock,mismatch,2,0
94,Blue,qxsw,Boat,Note,mismatch,2,0
95,Brown,zbxlv,House,Plane,mismatch,2,0
96,Pink,mtpv,Lamp,Shoe,mismatch,2,0
97,Black,rjdnv,Plane,Square,mismatch,2,0
98,Green,wvcnz,Cross,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
