,Unnamed: 0,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch,Image_Comp2,Image_Comp1,Image_List1,Image_List2
0,0,Brown,zbxlv,House,Bag,match,0,1,BrownBag_1,BrownBag_3,BrownBag_2,BlueHouse_3
1,1,Brown,zbxlv,House,Bell,match,0,1,BrownBell_1,BrownBell_2,BrownBell_2,BlueHouse_1
2,2,Black,rjdnv,Plane,Boat,match,0,1,BlackBoat_2,BlackBoat_2,BlackBoat_1,BrownPlane_2
3,3,Brown,zbxlv,House,Bone,match,0,1,BrownBone_3,BrownBone_1,BrownBone_2,PinkHouse_3
4,4,Green,wvcnz,Cross,Bow,match,0,1,GreenBow_3,GreenBow_1,GreenBow_3,PinkCross_1
5,5,Green,wvcnz,Cross,Cane,match,0,1,GreenCane_3,GreenCane_3,GreenCane_1,BrownCross_1
6,6,Blue,qxsw,Boat,Car,match,0,1,BlueCar_3,BlueCar_1,BlueCar_2,PinkBoat_1
7,7,Black,rjdnv,Plane,Cross,match,0,1,BlackCross_3,BlackCross_2,BlackCross_3,BrownPlane_3
8,8,Pink,mtpv,Lamp,Cup,match,0,1,PinkCup_2,PinkCup_2,PinkCup_1,BlackLamp_3
9,9,Blue,qxsw,Boat,Disc,match,0,1,BlueDisc_1,BlueDisc_1,BlueDisc_2,GreenBoat_3
10,10,Red,xkq,Cup,Flag,match,0,1,RedFlag_3,RedFlag_1,RedFlag_3,BlackCup_2
11,11,Green,wvcnz,Cross,Fork,match,0,1,GreenFork_2,GreenFork_1,GreenFork_3,BlackCross_3
12,12,Red,xkq,Cup,Hand,match,0,1,RedHand_2,RedHand_3,RedHand_2,BlackCup_2
13,13,Red,xkq,Cup,Heart,match,0,1,RedHeart_3,RedHeart_3,RedHeart_2,BlackCup_1
14,14,Blue,qxsw,Boat,House,match,0,1,BlueHouse_1,BlueHouse_1,BlueHouse_1,GreenBoat_3
15,15,Blue,qxsw,Boat,Key,match,0,1,BlueKey_2,BlueKey_2,BlueKey_3,BlackBoat_1
16,16,Red,xkq,Cup,Lamp,match,0,1,RedLamp_2,RedLamp_3,RedLamp_3,BlackCup_1
17,17,Green,wvcnz,Cross,Leaf,match,0,1,GreenLeaf_2,GreenLeaf_3,GreenLeaf_2,BlackCross_1
18,18,Black,rjdnv,Plane,Lock,match,0,1,BlackLock_2,BlackLock_3,BlackLock_1,GreenPlane_3
19,19,Brown,zbxlv,House,Note,match,0,1,BrownNote_3,BrownNote_2,BrownNote_1,PinkHouse_1
20,20,Green,wvcnz,Cross,Plane,match,0,1,GreenPlane_3,GreenPlane_1,GreenPlane_3,PinkCross_3
21,21,Pink,mtpv,Lamp,Shoe,match,0,1,PinkShoe_1,PinkShoe_1,PinkShoe_2,RedLamp_1
22,22,Black,rjdnv,Plane,Square,match,0,1,BlackSquare_1,BlackSquare_1,BlackSquare_2,BrownPlane_2
23,23,Pink,mtpv,Lamp,Star,match,0,1,PinkStar_3,PinkStar_2,PinkStar_1,BrownLamp_2
24,24,Pink,mtpv,Lamp,Tree,match,0,1,PinkTree_1,PinkTree_2,PinkTree_2,BrownLamp_1
25,25,Blue,qxsw,Boat,Bag,match,0,2,BlueBag_2,BlueBag_1,BlueBag_2,BlueBag_3
26,26,Green,wvcnz,Cross,Bell,match,0,2,GreenBell_1,GreenBell_3,GreenBell_1,BrownBell_1
27,27,Pink,mtpv,Lamp,Boat,match,0,2,PinkBoat_1,PinkBoat_3,PinkBoat_2,GreenBoat_3
28,28,Green,wvcnz,Cross,Bone,match,0,2,GreenBone_2,GreenBone_1,GreenBone_2,BrownBone_1
29,29,Red,xkq,Cup,Bow,match,0,2,RedBow_2,RedBow_1,RedBow_3,BlueBow_3
30,30,Blue,qxsw,Boat,Cane,match,0,2,BlueCane_3,BlueCane_3,BlueCane_3,BlueCane_2
31,31,Blue,qxsw,Boat,Car,match,0,2,BlueCar_3,BlueCar_2,BlueCar_1,RedCar_1
32,32,Brown,zbxlv,House,Cross,match,0,2,BrownCross_1,BrownCross_2,BrownCross_1,BlackCross_1
33,33,Brown,zbxlv,House,Cup,match,0,2,BrownCup_3,BrownCup_1,BrownCup_2,PinkCup_2
34,34,Pink,mtpv,Lamp,Disc,match,0,2,PinkDisc_3,PinkDisc_3,PinkDisc_2,PinkDisc_1
35,35,Green,wvcnz,Cross,Flag,match,0,2,GreenFlag_3,GreenFlag_2,GreenFlag_3,BlueFlag_3
36,36,Green,wvcnz,Cross,Fork,match,0,2,GreenFork_3,GreenFork_1,GreenFork_1,RedFork_3
37,37,Black,rjdnv,Plane,Hand,match,0,2,BlackHand_1,BlackHand_3,BlackHand_1,RedHand_2
38,38,Black,rjdnv,Plane,Heart,match,0,2,BlackHeart_2,BlackHeart_1,BlackHeart_3,BlackHeart_3
39,39,Pink,mtpv,Lamp,House,match,0,2,PinkHouse_3,PinkHouse_3,PinkHouse_1,PinkHouse_1
40,40,Green,wvcnz,Cross,Key,match,0,2,GreenKey_3,GreenKey_2,GreenKey_2,BlackKey_3
41,41,Red,xkq,Cup,Lamp,match,0,2,RedLamp_1,RedLamp_2,RedLamp_2,RedLamp_3
42,42,Black,rjdnv,Plane,Leaf,match,0,2,BlackLeaf_3,BlackLeaf_2,BlackLeaf_2,GreenLeaf_1
43,43,Blue,qxsw,Boat,Lock,match,0,2,BlueLock_2,BlueLock_3,BlueLock_3,GreenLock_2
44,44,Red,xkq,Cup,Note,match,0,2,RedNote_2,RedNote_1,RedNote_3,BlackNote_3
45,45,Pink,mtpv,Lamp,Plane,match,0,2,PinkPlane_2,PinkPlane_1,PinkPlane_2,GreenPlane_2
46,46,Brown,zbxlv,House,Shoe,match,0,2,BrownShoe_3,BrownShoe_2,BrownShoe_1,BrownShoe_3
47,47,Black,rjdnv,Plane,Square,match,0,2,BlackSquare_2,BlackSquare_1,BlackSquare_3,BlackSquare_2
48,48,Brown,zbxlv,House,Star,match,0,2,BrownStar_1,BrownStar_2,BrownStar_3,RedStar_2
49,49,Red,xkq,Cup,Tree,match,0,2,RedTree_3,RedTree_3,RedTree_2,GreenTree_1
50,50,Black,rjdnv,Plane,Bag,mismatch,1,0,BlackLock_2,BlackLamp_2,BlackSquare_1,BrownLamp_3
51,51,Blue,qxsw,Boat,Bell,mismatch,1,0,BlueDisc_2,BlueBag_3,BlueCane_3,BlueKey_3
52,52,Pink,mtpv,Lamp,Boat,mismatch,1,0,PinkShoe_1,PinkCross_3,PinkCup_2,BlackSquare_3
53,53,Brown,zbxlv,House,Bone,mismatch,1,0,BrownLamp_3,BrownCup_1,BrownCross_3,PinkTree_3
54,54,Red,xkq,Cup,Bow,mismatch,1,0,RedLamp_3,RedHand_1,RedLeaf_1,BrownLamp_1
55,55,Pink,mtpv,Lamp,Cane,mismatch,1,0,PinkPlane_1,PinkShoe_1,PinkHouse_2,BlackLamp_3
56,56,Green,wvcnz,Cross,Car,mismatch,1,0,GreenCup_2,GreenBell_3,GreenFork_1,PinkShoe_1
57,57,Brown,zbxlv,House,Cross,mismatch,1,0,BrownBell_3,BrownBell_2,BrownBag_2,RedNote_3
58,58,Black,rjdnv,Plane,Cup,mismatch,1,0,BlackHand_3,BlackBag_1,BlackLeaf_3,PinkTree_2
59,59,Brown,zbxlv,House,Disc,mismatch,1,0,BrownLamp_2,BrownBag_2,BrownStar_2,BrownLamp_1
60,60,Blue,qxsw,Boat,Flag,mismatch,1,0,BlueBag_3,BlueDisc_1,BlueLock_3,GreenTree_3
61,61,Blue,qxsw,Boat,Fork,mismatch,1,0,BlueBow_3,BlueDisc_3,BlueLock_3,BrownSquare_3
62,62,Pink,mtpv,Lamp,Hand,mismatch,1,0,PinkHouse_1,PinkBoat_3,PinkTree_2,BlueCar_2
63,63,Green,wvcnz,Cross,Heart,mismatch,1,0,GreenFlag_3,GreenCane_1,GreenFlag_3,BrownStar_1
64,64,Green,wvcnz,Cross,House,mismatch,1,0,GreenLeaf_3,GreenCup_3,GreenTree_3,BrownBone_1
65,65,Black,rjdnv,Plane,Key,mismatch,1,0,BlackLamp_2,BlackSquare_3,BlackHand_2,BlackNote_3
66,66,Black,rjdnv,Plane,Lamp,mismatch,1,0,BlackCup_2,BlackKey_2,BlackCross_1,RedHand_2
67,67,Red,xkq,Cup,Leaf,mismatch,1,0,RedBow_3,RedCar_1,RedLamp_1,BlackSquare_1
68,68,Green,wvcnz,Cross,Lock,mismatch,1,0,GreenBoat_3,GreenCane_1,GreenHeart_3,RedFork_1
69,69,Blue,qxsw,Boat,Note,mismatch,1,0,BlueHouse_2,BlueHand_2,BlueCar_1,BlackCane_1
70,70,Green,wvcnz,Cross,Plane,mismatch,1,0,GreenFork_2,GreenLeaf_1,GreenBoat_1,PinkCross_2
71,71,Pink,mtpv,Lamp,Shoe,mismatch,1,0,PinkBoat_1,PinkHouse_1,PinkCross_1,BlackCup_2
72,72,Brown,zbxlv,House,Square,mismatch,1,0,BrownBell_1,BrownHeart_1,BrownBell_3,RedLamp_3
73,73,Red,xkq,Cup,Star,mismatch,1,0,RedKey_1,RedNote_2,RedNote_2,PinkPlane_1
74,74,Red,xkq,Cup,Tree,mismatch,1,0,RedBow_2,RedFlag_3,RedKey_2,BrownBell_3
75,75,Blue,qxsw,Boat,Bag,mismatch,2,0,BrownBag_1,BlueCar_2,BlueCane_3,BlueDisc_3
76,76,Blue,qxsw,Boat,Bell,mismatch,2,0,GreenBell_1,BlueFlag_2,BlueNote_2,BlueFlag_3
77,77,Green,wvcnz,Cross,Boat,mismatch,2,0,BlackBoat_2,GreenFlag_3,GreenBow_1,BlackLock_1
78,78,Black,rjdnv,Plane,Bone,mismatch,2,0,BrownBone_3,BlackNote_1,BlackCross_2,GreenBow_3
79,79,Blue,qxsw,Boat,Bow,mismatch,2,0,RedBow_1,BlueLock_2,BlueBell_2,BlueFlag_1
80,80,Black,rjdnv,Plane,Cane,mismatch,2,0,PinkCane_2,BlackLock_3,BlackLamp_2,BrownFlag_3
81,81,Red,xkq,Cup,Car,mismatch,2,0,BlueCar_2,RedKey_2,RedNote_2,BlackBoat_1
82,82,Pink,mtpv,Lamp,Cross,mismatch,2,0,BrownCross_2,PinkHand_1,PinkHouse_2,BlueHand_1
83,83,Green,wvcnz,Cross,Cup,mismatch,2,0,BrownCup_3,GreenHouse_3,GreenBell_3,GreenFlag_1
84,84,Pink,mtpv,Lamp,Disc,mismatch,2,0,BrownDisc_2,PinkPlane_3,PinkPlane_1,RedKey_2
85,85,Brown,zbxlv,House,Flag,mismatch,2,0,GreenFlag_3,BrownBell_2,BrownCross_3,GreenFork_2
86,86,Red,xkq,Cup,Fork,mismatch,2,0,BlueFork_2,RedTree_2,RedHand_1,BlackStar_3
87,87,Blue,qxsw,Boat,Hand,mismatch,2,0,BlackHand_3,BlueHouse_3,BlueHouse_3,BlackBone_1
88,88,Brown,zbxlv,House,Heart,mismatch,2,0,GreenHeart_2,BrownBag_2,BrownCross_3,PinkPlane_1
89,89,Green,wvcnz,Cross,House,mismatch,2,0,BlueHouse_2,GreenHeart_2,GreenFork_2,BrownShoe_3
90,90,Red,xkq,Cup,Key,mismatch,2,0,BlackKey_1,RedStar_3,RedHand_3,RedBow_3
91,91,Brown,zbxlv,House,Lamp,mismatch,2,0,RedLamp_1,BrownDisc_1,BrownSquare_1,PinkDisc_1
92,92,Red,xkq,Cup,Leaf,mismatch,2,0,GreenLeaf_1,RedFork_2,RedHand_2,BlueKey_3
93,93,Pink,mtpv,Lamp,Lock,mismatch,2,0,GreenLock_3,PinkShoe_3,PinkSquare_1,BlueCane_1
94,94,Black,rjdnv,Plane,Note,mismatch,2,0,RedNote_1,BlackKey_1,BlackBoat_3,PinkShoe_3
95,95,Brown,zbxlv,House,Plane,mismatch,2,0,GreenPlane_2,BrownBell_3,BrownLamp_3,BlackBag_1
96,96,Green,wvcnz,Cross,Shoe,mismatch,2,0,PinkShoe_2,GreenCar_2,GreenFork_3,BlackKey_3
97,97,Pink,mtpv,Lamp,Square,mismatch,2,0,BlackSquare_3,PinkTree_3,PinkPlane_1,BlackCup_1
