,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Brown,zbxlv,House,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Red,xkq,Cup,Boat,match,0,1
3,Green,wvcnz,Cross,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Red,xkq,Cup,Cane,match,0,1
6,Blue,qxsw,Boat,Car,match,0,1
7,Brown,zbxlv,House,Cross,match,0,1
8,Black,rjdnv,Plane,Cup,match,0,1
9,Brown,zbxlv,House,Disc,match,0,1
10,Blue,qxsw,Boat,Flag,match,0,1
11,Red,xkq,Cup,Fork,match,0,1
12,Red,xkq,Cup,Hand,match,0,1
13,Pink,mtpv,Lamp,Heart,match,0,1
14,Pink,mtpv,Lamp,House,match,0,1
15,Brown,zbxlv,House,Key,match,0,1
16,Black,rjdnv,Plane,Lamp,match,0,1
17,Black,rjdnv,Plane,Leaf,match,0,1
18,Pink,mtpv,Lamp,Lock,match,0,1
19,Blue,qxsw,Boat,Note,match,0,1
20,Green,wvcnz,Cross,Plane,match,0,1
21,Blue,qxsw,Boat,Shoe,match,0,1
22,Black,rjdnv,Plane,Square,match,0,1
23,Pink,mtpv,Lamp,Star,match,0,1
24,Green,wvcnz,Cross,Tree,match,0,1
25,Pink,mtpv,Lamp,Bag,match,0,2
26,Blue,qxsw,Boat,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Green,wvcnz,Cross,Bone,match,0,2
29,Black,rjdnv,Plane,Bow,match,0,2
30,Blue,qxsw,Boat,Cane,match,0,2
31,Red,xkq,Cup,Car,match,0,2
32,Red,xkq,Cup,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Black,rjdnv,Plane,Disc,match,0,2
35,Black,rjdnv,Plane,Flag,match,0,2
36,Brown,zbxlv,House,Fork,match,0,2
37,Red,xkq,Cup,Hand,match,0,2
38,Green,wvcnz,Cross,Heart,match,0,2
39,Black,rjdnv,Plane,House,match,0,2
40,Blue,qxsw,Boat,Key,match,0,2
41,Brown,zbxlv,House,Lamp,match,0,2
42,Green,wvcnz,Cross,Leaf,match,0,2
43,Blue,qxsw,Boat,Lock,match,0,2
44,Brown,zbxlv,House,Note,match,0,2
45,Red,xkq,Cup,Plane,match,0,2
46,Pink,mtpv,Lamp,Shoe,match,0,2
47,Pink,mtpv,Lamp,Square,match,0,2
48,Black,rjdnv,Plane,Star,match,0,2
49,Green,wvcnz,Cross,Tree,match,0,2
50,Red,xkq,Cup,Bag,mismatch,1,0
51,Green,wvcnz,Cross,Bell,mismatch,1,0
52,Brown,zbxlv,House,Boat,mismatch,1,0
53,Blue,qxsw,Boat,Bone,mismatch,1,0
54,Blue,qxsw,Boat,Bow,mismatch,1,0
55,Blue,qxsw,Boat,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Pink,mtpv,Lamp,Cup,mismatch,1,0
59,Pink,mtpv,Lamp,Disc,mismatch,1,0
60,Brown,zbxlv,House,Flag,mismatch,1,0
61,Blue,qxsw,Boat,Fork,mismatch,1,0
62,Black,rjdnv,Plane,Hand,mismatch,1,0
63,Brown,zbxlv,House,Heart,mismatch,1,0
64,Pink,mtpv,Lamp,House,mismatch,1,0
65,Black,rjdnv,Plane,Key,mismatch,1,0
66,Green,wvcnz,Cross,Lamp,mismatch,1,0
67,Green,wvcnz,Cross,Leaf,mismatch,1,0
68,Black,rjdnv,Plane,Lock,mismatch,1,0
69,Red,xkq,Cup,Note,mismatch,1,0
70,Pink,mtpv,Lamp,Plane,mismatch,1,0
71,Green,wvcnz,Cross,Shoe,mismatch,1,0
72,Black,rjdnv,Plane,Square,mismatch,1,0
73,Brown,zbxlv,House,Star,mismatch,1,0
74,Red,xkq,Cup,Tree,mismatch,1,0
75,Green,wvcnz,Cross,Bag,mismatch,2,0
76,Pink,mtpv,Lamp,Bell,mismatch,2,0
77,Black,rjdnv,Plane,Boat,mismatch,2,0
78,Red,xkq,Cup,Bone,mismatch,2,0
79,Brown,zbxlv,House,Bow,mismatch,2,0
80,Green,wvcnz,Cross,Cane,mismatch,2,0
81,Green,wvcnz,Cross,Car,mismatch,2,0
82,Pink,mtpv,Lamp,Cross,mismatch,2,0
83,Green,wvcnz,Cross,Cup,mismatch,2,0
84,Blue,qxsw,Boat,Disc,mismatch,2,0
85,Black,rjdnv,Plane,Flag,mismatch,2,0
86,Pink,mtpv,Lamp,Fork,mismatch,2,0
87,Pink,mtpv,Lamp,Hand,mismatch,2,0
88,Black,rjdnv,Plane,Heart,mismatch,2,0
89,Blue,qxsw,Boat,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Black,rjdnv,Plane,Lamp,mismatch,2,0
92,Brown,zbxlv,House,Leaf,mismatch,2,0
93,Red,xkq,Cup,Lock,mismatch,2,0
94,Blue,qxsw,Boat,Note,mismatch,2,0
95,Red,xkq,Cup,Plane,mismatch,2,0
96,Black,rjdnv,Plane,Shoe,mismatch,2,0
97,Brown,zbxlv,House,Square,mismatch,2,0
98,Brown,zbxlv,House,Star,mismatch,2,0
99,Blue,qxsw,Boat,Tree,mismatch,2,0
