,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Brown,zbxlv,House,Bag,match,0,1
1,Blue,qxsw,Boat,Bell,match,0,1
2,Green,wvcnz,Cross,Boat,match,0,1
3,Brown,zbxlv,House,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Green,wvcnz,Cross,Cane,match,0,1
6,Red,xkq,Cup,Car,match,0,1
7,Black,rjdnv,Plane,Cross,match,0,1
8,Brown,zbxlv,House,Cup,match,0,1
9,Red,xkq,Cup,Disc,match,0,1
10,Pink,mtpv,Lamp,Flag,match,0,1
11,Green,wvcnz,Cross,Fork,match,0,1
12,Pink,mtpv,Lamp,Hand,match,0,1
13,Green,wvcnz,Cross,Heart,match,0,1
14,Blue,qxsw,Boat,House,match,0,1
15,Pink,mtpv,Lamp,Key,match,0,1
16,Black,rjdnv,Plane,Lamp,match,0,1
17,Green,wvcnz,Cross,Leaf,match,0,1
18,Black,rjdnv,Plane,Lock,match,0,1
19,Blue,qxsw,Boat,Note,match,0,1
20,Blue,qxsw,Boat,Plane,match,0,1
21,Pink,mtpv,Lamp,Shoe,match,0,1
22,Brown,zbxlv,House,Square,match,0,1
23,Red,xkq,Cup,Star,match,0,1
24,Red,xkq,Cup,Tree,match,0,1
25,Green,wvcnz,Cross,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Pink,mtpv,Lamp,Bone,match,0,2
29,Red,xkq,Cup,Bow,match,0,2
30,Red,xkq,Cup,Cane,match,0,2
31,Brown,zbxlv,House,Car,match,0,2
32,Pink,mtpv,Lamp,Cross,match,0,2
33,Green,wvcnz,Cross,Cup,match,0,2
34,Pink,mtpv,Lamp,Disc,match,0,2
35,Green,wvcnz,Cross,Flag,match,0,2
36,Black,rjdnv,Plane,Fork,match,0,2
37,Black,rjdnv,Plane,Hand,match,0,2
38,Black,rjdnv,Plane,Heart,match,0,2
39,Blue,qxsw,Boat,House,match,0,2
40,Blue,qxsw,Boat,Key,match,0,2
41,Brown,zbxlv,House,Lamp,match,0,2
42,Pink,mtpv,Lamp,Leaf,match,0,2
43,Blue,qxsw,Boat,Lock,match,0,2
44,Brown,zbxlv,House,Note,match,0,2
45,Green,wvcnz,Cross,Plane,match,0,2
46,Green,wvcnz,Cross,Shoe,match,0,2
47,Blue,qxsw,Boat,Square,match,0,2
48,Black,rjdnv,Plane,Star,match,0,2
49,Red,xkq,Cup,Tree,match,0,2
50,Black,rjdnv,Plane,Bag,mismatch,1,0
51,Pink,mtpv,Lamp,Bell,mismatch,1,0
52,Red,xkq,Cup,Boat,mismatch,1,0
53,Green,wvcnz,Cross,Bone,mismatch,1,0
54,Blue,qxsw,Boat,Bow,mismatch,1,0
55,Red,xkq,Cup,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Black,rjdnv,Plane,Cross,mismatch,1,0
58,Blue,qxsw,Boat,Cup,mismatch,1,0
59,Green,wvcnz,Cross,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Blue,qxsw,Boat,Fork,mismatch,1,0
62,Brown,zbxlv,House,Hand,mismatch,1,0
63,Brown,zbxlv,House,Heart,mismatch,1,0
64,Red,xkq,Cup,House,mismatch,1,0
65,Green,wvcnz,Cross,Key,mismatch,1,0
66,Brown,zbxlv,House,Lamp,mismatch,1,0
67,Pink,mtpv,Lamp,Leaf,mismatch,1,0
68,Red,xkq,Cup,Lock,mismatch,1,0
69,Pink,mtpv,Lamp,Note,mismatch,1,0
70,Green,wvcnz,Cross,Plane,mismatch,1,0
71,Blue,qxsw,Boat,Shoe,mismatch,1,0
72,Black,rjdnv,Plane,Square,mismatch,1,0
73,Pink,mtpv,Lamp,Star,mismatch,1,0
74,Brown,zbxlv,House,Tree,mismatch,1,0
75,Green,wvcnz,Cross,Bag,mismatch,2,0
76,Black,rjdnv,Plane,Bell,mismatch,2,0
77,Red,xkq,Cup,Boat,mismatch,2,0
78,Green,wvcnz,Cross,Bone,mismatch,2,0
79,Red,xkq,Cup,Bow,mismatch,2,0
80,Pink,mtpv,Lamp,Cane,mismatch,2,0
81,Green,wvcnz,Cross,Car,mismatch,2,0
82,Brown,zbxlv,House,Cross,mismatch,2,0
83,Brown,zbxlv,House,Cup,mismatch,2,0
84,Pink,mtpv,Lamp,Disc,mismatch,2,0
85,Red,xkq,Cup,Flag,mismatch,2,0
86,Black,rjdnv,Plane,Fork,mismatch,2,0
87,Black,rjdnv,Plane,Hand,mismatch,2,0
88,Green,wvcnz,Cross,Heart,mismatch,2,0
89,Pink,mtpv,Lamp,House,mismatch,2,0
90,Black,rjdnv,Plane,Key,mismatch,2,0
91,Green,wvcnz,Cross,Lamp,mismatch,2,0
92,Blue,qxsw,Boat,Leaf,mismatch,2,0
93,Brown,zbxlv,House,Lock,mismatch,2,0
94,Red,xkq,Cup,Note,mismatch,2,0
95,Pink,mtpv,Lamp,Plane,mismatch,2,0
96,Brown,zbxlv,House,Shoe,mismatch,2,0
97,Blue,qxsw,Boat,Square,mismatch,2,0
98,Blue,qxsw,Boat,Star,mismatch,2,0
99,Blue,qxsw,Boat,Tree,mismatch,2,0
