,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Red,xkq,Cup,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Brown,zbxlv,House,Boat,match,0,1
3,Brown,zbxlv,House,Bone,match,0,1
4,Green,wvcnz,Cross,Bow,match,0,1
5,Black,rjdnv,Plane,Cane,match,0,1
6,Pink,mtpv,Lamp,Car,match,0,1
7,Red,xkq,Cup,Cross,match,0,1
8,Black,rjdnv,Plane,Cup,match,0,1
9,Blue,qxsw,Boat,Disc,match,0,1
10,Black,rjdnv,Plane,Flag,match,0,1
11,Red,xkq,Cup,Fork,match,0,1
12,Blue,qxsw,Boat,Hand,match,0,1
13,Pink,mtpv,Lamp,Heart,match,0,1
14,Black,rjdnv,Plane,House,match,0,1
15,Pink,mtpv,Lamp,Key,match,0,1
16,Red,xkq,Cup,Lamp,match,0,1
17,Green,wvcnz,Cross,Leaf,match,0,1
18,Blue,qxsw,Boat,Lock,match,0,1
19,Blue,qxsw,Boat,Note,match,0,1
20,Brown,zbxlv,House,Plane,match,0,1
21,Brown,zbxlv,House,Shoe,match,0,1
22,Green,wvcnz,Cross,Square,match,0,1
23,Pink,mtpv,Lamp,Star,match,0,1
24,Red,xkq,Cup,Tree,match,0,1
25,Black,rjdnv,Plane,Bag,match,0,2
26,Brown,zbxlv,House,Bell,match,0,2
27,Red,xkq,Cup,Boat,match,0,2
28,Green,wvcnz,Cross,Bone,match,0,2
29,Pink,mtpv,Lamp,Bow,match,0,2
30,Pink,mtpv,Lamp,Cane,match,0,2
31,Red,xkq,Cup,Car,match,0,2
32,Brown,zbxlv,House,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Red,xkq,Cup,Disc,match,0,2
35,Pink,mtpv,Lamp,Flag,match,0,2
36,Blue,qxsw,Boat,Fork,match,0,2
37,Green,wvcnz,Cross,Hand,match,0,2
38,Black,rjdnv,Plane,Heart,match,0,2
39,Blue,qxsw,Boat,House,match,0,2
40,Red,xkq,Cup,Key,match,0,2
41,Green,wvcnz,Cross,Lamp,match,0,2
42,Green,wvcnz,Cross,Leaf,match,0,2
43,Red,xkq,Cup,Lock,match,0,2
44,Black,rjdnv,Plane,Note,match,0,2
45,Blue,qxsw,Boat,Plane,match,0,2
46,Brown,zbxlv,House,Shoe,match,0,2
47,Brown,zbxlv,House,Square,match,0,2
48,Blue,qxsw,Boat,Star,match,0,2
49,Black,rjdnv,Plane,Tree,match,0,2
50,Black,rjdnv,Plane,Bag,mismatch,1,0
51,Black,rjdnv,Plane,Bell,mismatch,1,0
52,Brown,zbxlv,House,Boat,mismatch,1,0
53,Green,wvcnz,Cross,Bone,mismatch,1,0
54,Brown,zbxlv,House,Bow,mismatch,1,0
55,Blue,qxsw,Boat,Cane,mismatch,1,0
56,Pink,mtpv,Lamp,Car,mismatch,1,0
57,Black,rjdnv,Plane,Cross,mismatch,1,0
58,Pink,mtpv,Lamp,Cup,mismatch,1,0
59,Red,xkq,Cup,Disc,mismatch,1,0
60,Red,xkq,Cup,Flag,mismatch,1,0
61,Pink,mtpv,Lamp,Fork,mismatch,1,0
62,Green,wvcnz,Cross,Hand,mismatch,1,0
63,Green,wvcnz,Cross,Heart,mismatch,1,0
64,Blue,qxsw,Boat,House,mismatch,1,0
65,Blue,qxsw,Boat,Key,mismatch,1,0
66,Brown,zbxlv,House,Lamp,mismatch,1,0
67,Brown,zbxlv,House,Leaf,mismatch,1,0
68,Black,rjdnv,Plane,Lock,mismatch,1,0
69,Red,xkq,Cup,Note,mismatch,1,0
70,Blue,qxsw,Boat,Plane,mismatch,1,0
71,Pink,mtpv,Lamp,Shoe,mismatch,1,0
72,Red,xkq,Cup,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Green,wvcnz,Cross,Tree,mismatch,1,0
75,Pink,mtpv,Lamp,Bag,mismatch,2,0
76,Blue,qxsw,Boat,Bell,mismatch,2,0
77,Green,wvcnz,Cross,Boat,mismatch,2,0
78,Red,xkq,Cup,Bone,mismatch,2,0
79,Green,wvcnz,Cross,Bow,mismatch,2,0
80,Pink,mtpv,Lamp,Cane,mismatch,2,0
81,Blue,qxsw,Boat,Car,mismatch,2,0
82,Brown,zbxlv,House,Cross,mismatch,2,0
83,Brown,zbxlv,House,Cup,mismatch,2,0
84,Black,rjdnv,Plane,Disc,mismatch,2,0
85,Pink,mtpv,Lamp,Flag,mismatch,2,0
86,Black,rjdnv,Plane,Fork,mismatch,2,0
87,Pink,mtpv,Lamp,Hand,mismatch,2,0
88,Black,rjdnv,Plane,Heart,mismatch,2,0
89,Green,wvcnz,Cross,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Green,wvcnz,Cross,Lamp,mismatch,2,0
92,Blue,qxsw,Boat,Leaf,mismatch,2,0
93,Brown,zbxlv,House,Lock,mismatch,2,0
94,Red,xkq,Cup,Note,mismatch,2,0
95,Red,xkq,Cup,Plane,mismatch,2,0
96,Blue,qxsw,Boat,Shoe,mismatch,2,0
97,Red,xkq,Cup,Square,mismatch,2,0
98,Brown,zbxlv,House,Star,mismatch,2,0
99,Black,rjdnv,Plane,Tree,mismatch,2,0
