,Unnamed: 0,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch,Image_Comp2,Image_Comp1,Image_List1,Image_List2
0,0,Black,rjdnv,Plane,Bag,match,0,1,BlackBag_3,BlackBag_3,BlackBag_3,RedPlane_3
1,1,Blue,qxsw,Boat,Bell,match,0,1,BlueBell_2,BlueBell_3,BlueBell_1,PinkBoat_2
2,2,Red,xkq,Cup,Boat,match,0,1,RedBoat_2,RedBoat_2,RedBoat_2,PinkCup_1
3,3,Black,rjdnv,Plane,Bone,match,0,1,BlackBone_2,BlackBone_2,BlackBone_3,PinkPlane_2
4,4,Red,xkq,Cup,Bow,match,0,1,RedBow_1,RedBow_2,RedBow_2,GreenCup_1
5,5,Pink,mtpv,Lamp,Cane,match,0,1,PinkCane_3,PinkCane_2,PinkCane_1,BrownLamp_3
6,6,Green,wvcnz,Cross,Car,match,0,1,GreenCar_1,GreenCar_3,GreenCar_2,BlackCross_2
7,7,Brown,zbxlv,House,Cross,match,0,1,BrownCross_2,BrownCross_2,BrownCross_3,PinkHouse_2
8,8,Pink,mtpv,Lamp,Cup,match,0,1,PinkCup_1,PinkCup_1,PinkCup_1,BlackLamp_2
9,9,Brown,zbxlv,House,Disc,match,0,1,BrownDisc_3,BrownDisc_3,BrownDisc_1,PinkHouse_2
10,10,Blue,qxsw,Boat,Flag,match,0,1,BlueFlag_3,BlueFlag_3,BlueFlag_1,GreenBoat_2
11,11,Green,wvcnz,Cross,Fork,match,0,1,GreenFork_2,GreenFork_1,GreenFork_1,BlueCross_1
12,12,Red,xkq,Cup,Hand,match,0,1,RedHand_1,RedHand_2,RedHand_2,BrownCup_1
13,13,Brown,zbxlv,House,Heart,match,0,1,BrownHeart_3,BrownHeart_3,BrownHeart_3,PinkHouse_1
14,14,Pink,mtpv,Lamp,House,match,0,1,PinkHouse_3,PinkHouse_2,PinkHouse_1,BlackLamp_1
15,15,Brown,zbxlv,House,Key,match,0,1,BrownKey_1,BrownKey_1,BrownKey_2,BlueHouse_2
16,16,Green,wvcnz,Cross,Lamp,match,0,1,GreenLamp_1,GreenLamp_2,GreenLamp_3,BlueCross_1
17,17,Black,rjdnv,Plane,Leaf,match,0,1,BlackLeaf_2,BlackLeaf_2,BlackLeaf_2,BrownPlane_2
18,18,Blue,qxsw,Boat,Lock,match,0,1,BlueLock_1,BlueLock_2,BlueLock_2,RedBoat_1
19,19,Green,wvcnz,Cross,Note,match,0,1,GreenNote_2,GreenNote_1,GreenNote_1,BlackCross_2
20,20,Pink,mtpv,Lamp,Plane,match,0,1,PinkPlane_2,PinkPlane_2,PinkPlane_1,BrownLamp_1
21,21,Blue,qxsw,Boat,Shoe,match,0,1,BlueShoe_2,BlueShoe_2,BlueShoe_2,PinkBoat_2
22,22,Brown,zbxlv,House,Square,match,0,1,BrownSquare_3,BrownSquare_3,BrownSquare_3,PinkHouse_1
23,23,Red,xkq,Cup,Star,match,0,1,RedStar_1,RedStar_2,RedStar_3,BrownCup_3
24,24,Black,rjdnv,Plane,Tree,match,0,1,BlackTree_3,BlackTree_2,BlackTree_3,RedPlane_1
25,25,Red,xkq,Cup,Bag,match,0,2,RedBag_3,RedBag_1,RedBag_3,BlueBag_3
26,26,Black,rjdnv,Plane,Bell,match,0,2,BlackBell_2,BlackBell_3,BlackBell_2,BlueBell_2
27,27,Brown,zbxlv,House,Boat,match,0,2,BrownBoat_1,BrownBoat_2,BrownBoat_2,BrownBoat_3
28,28,Red,xkq,Cup,Bone,match,0,2,RedBone_1,RedBone_2,RedBone_3,PinkBone_2
29,29,Blue,qxsw,Boat,Bow,match,0,2,BlueBow_3,BlueBow_2,BlueBow_3,RedBow_2
30,30,Black,rjdnv,Plane,Cane,match,0,2,BlackCane_1,BlackCane_3,BlackCane_3,BlackCane_3
31,31,Blue,qxsw,Boat,Car,match,0,2,BlueCar_2,BlueCar_1,BlueCar_1,RedCar_3
32,32,Black,rjdnv,Plane,Cross,match,0,2,BlackCross_2,BlackCross_2,BlackCross_3,BrownCross_2
33,33,Green,wvcnz,Cross,Cup,match,0,2,GreenCup_3,GreenCup_2,GreenCup_2,GreenCup_2
34,34,Blue,qxsw,Boat,Disc,match,0,2,BlueDisc_3,BlueDisc_1,BlueDisc_2,BlackDisc_2
35,35,Red,xkq,Cup,Flag,match,0,2,RedFlag_1,RedFlag_2,RedFlag_2,BlackFlag_2
36,36,Pink,mtpv,Lamp,Fork,match,0,2,PinkFork_1,PinkFork_3,PinkFork_3,PinkFork_3
37,37,Brown,zbxlv,House,Hand,match,0,2,BrownHand_1,BrownHand_2,BrownHand_3,BrownHand_3
38,38,Pink,mtpv,Lamp,Heart,match,0,2,PinkHeart_2,PinkHeart_1,PinkHeart_3,PinkHeart_1
39,39,Green,wvcnz,Cross,House,match,0,2,GreenHouse_3,GreenHouse_3,GreenHouse_2,BlueHouse_3
40,40,Green,wvcnz,Cross,Key,match,0,2,GreenKey_3,GreenKey_2,GreenKey_2,BrownKey_1
41,41,Brown,zbxlv,House,Lamp,match,0,2,BrownLamp_1,BrownLamp_1,BrownLamp_3,GreenLamp_1
42,42,Brown,zbxlv,House,Leaf,match,0,2,BrownLeaf_3,BrownLeaf_3,BrownLeaf_2,BlueLeaf_3
43,43,Pink,mtpv,Lamp,Lock,match,0,2,PinkLock_2,PinkLock_2,PinkLock_3,GreenLock_3
44,44,Green,wvcnz,Cross,Note,match,0,2,GreenNote_3,GreenNote_3,GreenNote_3,BlackNote_2
45,45,Brown,zbxlv,House,Plane,match,0,2,BrownPlane_3,BrownPlane_2,BrownPlane_3,PinkPlane_2
46,46,Blue,qxsw,Boat,Shoe,match,0,2,BlueShoe_3,BlueShoe_2,BlueShoe_2,PinkShoe_1
47,47,Pink,mtpv,Lamp,Square,match,0,2,PinkSquare_1,PinkSquare_3,PinkSquare_3,BlueSquare_2
