,Unnamed: 0,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch,Image_Comp2,Image_Comp1,Image_List1,Image_List2
0,0,Blue,qxsw,Boat,Bag,match,0,1,BlueBag_3,BlueBag_3,BlueBag_3,BrownBoat_2
1,1,Black,rjdnv,Plane,Bell,match,0,1,BlackBell_3,BlackBell_1,BlackBell_1,GreenPlane_3
2,2,Red,xkq,Cup,Boat,match,0,1,RedBoat_1,RedBoat_3,RedBoat_2,GreenCup_2
3,3,Blue,qxsw,Boat,Bone,match,0,1,BlueBone_1,BlueBone_1,BlueBone_2,RedBoat_2
4,4,Red,xkq,Cup,Bow,match,0,1,RedBow_2,RedBow_2,RedBow_1,GreenCup_2
5,5,Black,rjdnv,Plane,Cane,match,0,1,BlackCane_1,BlackCane_1,BlackCane_3,PinkPlane_2
6,6,Black,rjdnv,Plane,Car,match,0,1,BlackCar_3,BlackCar_3,BlackCar_1,PinkPlane_2
7,7,Red,xkq,Cup,Cross,match,0,1,RedCross_1,RedCross_3,RedCross_3,BrownCup_1
8,8,Brown,zbxlv,House,Cup,match,0,1,BrownCup_3,BrownCup_1,BrownCup_1,BlackHouse_1
9,9,Pink,mtpv,Lamp,Disc,match,0,1,PinkDisc_2,PinkDisc_1,PinkDisc_3,BlackLamp_1
10,10,Red,xkq,Cup,Flag,match,0,1,RedFlag_2,RedFlag_3,RedFlag_2,GreenCup_1
11,11,Green,wvcnz,Cross,Fork,match,0,1,GreenFork_2,GreenFork_1,GreenFork_3,PinkCross_2
12,12,Blue,qxsw,Boat,Hand,match,0,1,BlueHand_2,BlueHand_1,BlueHand_1,BrownBoat_2
13,13,Pink,mtpv,Lamp,Heart,match,0,1,PinkHeart_2,PinkHeart_3,PinkHeart_3,GreenLamp_1
14,14,Pink,mtpv,Lamp,House,match,0,1,PinkHouse_1,PinkHouse_3,PinkHouse_3,RedLamp_3
15,15,Black,rjdnv,Plane,Key,match,0,1,BlackKey_3,BlackKey_3,BlackKey_3,GreenPlane_1
16,16,Green,wvcnz,Cross,Lamp,match,0,1,GreenLamp_3,GreenLamp_1,GreenLamp_1,BrownCross_2
17,17,Brown,zbxlv,House,Leaf,match,0,1,BrownLeaf_1,BrownLeaf_1,BrownLeaf_3,PinkHouse_3
18,18,Green,wvcnz,Cross,Lock,match,0,1,GreenLock_1,GreenLock_3,GreenLock_1,PinkCross_1
