,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Blue,qxsw,Boat,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Black,rjdnv,Plane,Boat,match,0,1
3,Blue,qxsw,Boat,Bone,match,0,1
4,Pink,mtpv,Lamp,Bow,match,0,1
5,Red,xkq,Cup,Cane,match,0,1
6,Black,rjdnv,Plane,Car,match,0,1
7,Brown,zbxlv,House,Cross,match,0,1
8,Blue,qxsw,Boat,Cup,match,0,1
9,Brown,zbxlv,House,Disc,match,0,1
10,Red,xkq,Cup,Flag,match,0,1
11,Brown,zbxlv,House,Fork,match,0,1
12,Green,wvcnz,Cross,Hand,match,0,1
13,Pink,mtpv,Lamp,Heart,match,0,1
14,Green,wvcnz,Cross,House,match,0,1
15,Red,xkq,Cup,Key,match,0,1
16,Blue,qxsw,Boat,Lamp,match,0,1
17,Brown,zbxlv,House,Leaf,match,0,1
18,Pink,mtpv,Lamp,Lock,match,0,1
19,Black,rjdnv,Plane,Note,match,0,1
20,Pink,mtpv,Lamp,Plane,match,0,1
21,Pink,mtpv,Lamp,Shoe,match,0,1
22,Red,xkq,Cup,Square,match,0,1
23,Black,rjdnv,Plane,Star,match,0,1
24,Green,wvcnz,Cross,Tree,match,0,1
25,Green,wvcnz,Cross,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Pink,mtpv,Lamp,Boat,match,0,2
28,Blue,qxsw,Boat,Bone,match,0,2
29,Black,rjdnv,Plane,Bow,match,0,2
30,Pink,mtpv,Lamp,Cane,match,0,2
31,Pink,mtpv,Lamp,Car,match,0,2
32,Black,rjdnv,Plane,Cross,match,0,2
33,Brown,zbxlv,House,Cup,match,0,2
34,Brown,zbxlv,House,Disc,match,0,2
35,Red,xkq,Cup,Flag,match,0,2
36,Green,wvcnz,Cross,Fork,match,0,2
37,Blue,qxsw,Boat,Hand,match,0,2
38,Green,wvcnz,Cross,Heart,match,0,2
39,Blue,qxsw,Boat,House,match,0,2
40,Pink,mtpv,Lamp,Key,match,0,2
41,Red,xkq,Cup,Lamp,match,0,2
42,Red,xkq,Cup,Leaf,match,0,2
43,Black,rjdnv,Plane,Lock,match,0,2
44,Brown,zbxlv,House,Note,match,0,2
45,Blue,qxsw,Boat,Plane,match,0,2
46,Pink,mtpv,Lamp,Shoe,match,0,2
47,Green,wvcnz,Cross,Square,match,0,2
48,Brown,zbxlv,House,Star,match,0,2
49,Black,rjdnv,Plane,Tree,match,0,2
50,Black,rjdnv,Plane,Bag,mismatch,1,0
51,Pink,mtpv,Lamp,Bell,mismatch,1,0
52,Red,xkq,Cup,Boat,mismatch,1,0
53,Red,xkq,Cup,Bone,mismatch,1,0
54,Blue,qxsw,Boat,Bow,mismatch,1,0
55,Blue,qxsw,Boat,Cane,mismatch,1,0
56,Brown,zbxlv,House,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Green,wvcnz,Cross,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Pink,mtpv,Lamp,Flag,mismatch,1,0
61,Black,rjdnv,Plane,Fork,mismatch,1,0
62,Brown,zbxlv,House,Hand,mismatch,1,0
63,Green,wvcnz,Cross,Heart,mismatch,1,0
64,Blue,qxsw,Boat,House,mismatch,1,0
65,Pink,mtpv,Lamp,Key,mismatch,1,0
66,Green,wvcnz,Cross,Lamp,mismatch,1,0
67,Pink,mtpv,Lamp,Leaf,mismatch,1,0
68,Blue,qxsw,Boat,Lock,mismatch,1,0
69,Pink,mtpv,Lamp,Note,mismatch,1,0
70,Green,wvcnz,Cross,Plane,mismatch,1,0
71,Brown,zbxlv,House,Shoe,mismatch,1,0
72,Red,xkq,Cup,Square,mismatch,1,0
73,Brown,zbxlv,House,Star,mismatch,1,0
74,Black,rjdnv,Plane,Tree,mismatch,1,0
75,Brown,zbxlv,House,Bag,mismatch,2,0
76,Black,rjdnv,Plane,Bell,mismatch,2,0
77,Red,xkq,Cup,Boat,mismatch,2,0
78,Black,rjdnv,Plane,Bone,mismatch,2,0
79,Red,xkq,Cup,Bow,mismatch,2,0
80,Red,xkq,Cup,Cane,mismatch,2,0
81,Brown,zbxlv,House,Car,mismatch,2,0
82,Blue,qxsw,Boat,Cross,mismatch,2,0
83,Brown,zbxlv,House,Cup,mismatch,2,0
84,Red,xkq,Cup,Disc,mismatch,2,0
85,Green,wvcnz,Cross,Flag,mismatch,2,0
86,Pink,mtpv,Lamp,Fork,mismatch,2,0
87,Blue,qxsw,Boat,Hand,mismatch,2,0
88,Blue,qxsw,Boat,Heart,mismatch,2,0
89,Pink,mtpv,Lamp,House,mismatch,2,0
90,Green,wvcnz,Cross,Key,mismatch,2,0
91,Green,wvcnz,Cross,Lamp,mismatch,2,0
92,Pink,mtpv,Lamp,Leaf,mismatch,2,0
93,Black,rjdnv,Plane,Lock,mismatch,2,0
94,Black,rjdnv,Plane,Note,mismatch,2,0
95,Blue,qxsw,Boat,Plane,mismatch,2,0
96,Green,wvcnz,Cross,Shoe,mismatch,2,0
97,Brown,zbxlv,House,Square,mismatch,2,0
98,Pink,mtpv,Lamp,Star,mismatch,2,0
99,Pink,mtpv,Lamp,Tree,mismatch,2,0
