,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Green,wvcnz,Cross,Bag,match,0,1
1,Blue,qxsw,Boat,Bell,match,0,1
2,Brown,zbxlv,House,Boat,match,0,1
3,Blue,qxsw,Boat,Bone,match,0,1
4,Red,xkq,Cup,Bow,match,0,1
5,Black,rjdnv,Plane,Cane,match,0,1
6,Green,wvcnz,Cross,Car,match,0,1
7,Blue,qxsw,Boat,Cross,match,0,1
8,Black,rjdnv,Plane,Cup,match,0,1
9,Brown,zbxlv,House,Disc,match,0,1
10,Pink,mtpv,Lamp,Flag,match,0,1
11,Brown,zbxlv,House,Fork,match,0,1
12,Green,wvcnz,Cross,Hand,match,0,1
13,Black,rjdnv,Plane,Heart,match,0,1
14,Pink,mtpv,Lamp,House,match,0,1
15,Red,xkq,Cup,Key,match,0,1
16,Red,xkq,Cup,Lamp,match,0,1
17,Blue,qxsw,Boat,Leaf,match,0,1
18,Red,xkq,Cup,Lock,match,0,1
19,Red,xkq,Cup,Note,match,0,1
20,Pink,mtpv,Lamp,Plane,match,0,1
21,Black,rjdnv,Plane,Shoe,match,0,1
22,Pink,mtpv,Lamp,Square,match,0,1
23,Brown,zbxlv,House,Star,match,0,1
24,Green,wvcnz,Cross,Tree,match,0,1
25,Black,rjdnv,Plane,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Green,wvcnz,Cross,Boat,match,0,2
28,Pink,mtpv,Lamp,Bone,match,0,2
29,Green,wvcnz,Cross,Bow,match,0,2
30,Pink,mtpv,Lamp,Cane,match,0,2
31,Green,wvcnz,Cross,Car,match,0,2
32,Blue,qxsw,Boat,Cross,match,0,2
33,Brown,zbxlv,House,Cup,match,0,2
34,Red,xkq,Cup,Disc,match,0,2
35,Brown,zbxlv,House,Flag,match,0,2
36,Pink,mtpv,Lamp,Fork,match,0,2
37,Brown,zbxlv,House,Hand,match,0,2
38,Black,rjdnv,Plane,Heart,match,0,2
39,Green,wvcnz,Cross,House,match,0,2
40,Red,xkq,Cup,Key,match,0,2
41,Blue,qxsw,Boat,Lamp,match,0,2
42,Blue,qxsw,Boat,Leaf,match,0,2
43,Pink,mtpv,Lamp,Lock,match,0,2
44,Blue,qxsw,Boat,Note,match,0,2
45,Red,xkq,Cup,Plane,match,0,2
46,Black,rjdnv,Plane,Shoe,match,0,2
47,Red,xkq,Cup,Square,match,0,2
48,Brown,zbxlv,House,Star,match,0,2
49,Black,rjdnv,Plane,Tree,match,0,2
50,Pink,mtpv,Lamp,Bag,mismatch,1,0
51,Red,xkq,Cup,Bell,mismatch,1,0
52,Black,rjdnv,Plane,Boat,mismatch,1,0
53,Brown,zbxlv,House,Bone,mismatch,1,0
54,Blue,qxsw,Boat,Bow,mismatch,1,0
55,Green,wvcnz,Cross,Cane,mismatch,1,0
56,Blue,qxsw,Boat,Car,mismatch,1,0
57,Brown,zbxlv,House,Cross,mismatch,1,0
58,Black,rjdnv,Plane,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Brown,zbxlv,House,Fork,mismatch,1,0
62,Red,xkq,Cup,Hand,mismatch,1,0
63,Pink,mtpv,Lamp,Heart,mismatch,1,0
64,Green,wvcnz,Cross,House,mismatch,1,0
65,Green,wvcnz,Cross,Key,mismatch,1,0
66,Black,rjdnv,Plane,Lamp,mismatch,1,0
67,Red,xkq,Cup,Leaf,mismatch,1,0
68,Blue,qxsw,Boat,Lock,mismatch,1,0
69,Red,xkq,Cup,Note,mismatch,1,0
70,Brown,zbxlv,House,Plane,mismatch,1,0
71,Pink,mtpv,Lamp,Shoe,mismatch,1,0
72,Pink,mtpv,Lamp,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Blue,qxsw,Boat,Tree,mismatch,1,0
75,Green,wvcnz,Cross,Bag,mismatch,2,0
76,Pink,mtpv,Lamp,Bell,mismatch,2,0
77,Green,wvcnz,Cross,Boat,mismatch,2,0
78,Black,rjdnv,Plane,Bone,mismatch,2,0
79,Red,xkq,Cup,Bow,mismatch,2,0
80,Red,xkq,Cup,Cane,mismatch,2,0
81,Pink,mtpv,Lamp,Car,mismatch,2,0
82,Red,xkq,Cup,Cross,mismatch,2,0
83,Pink,mtpv,Lamp,Cup,mismatch,2,0
84,Brown,zbxlv,House,Disc,mismatch,2,0
85,Red,xkq,Cup,Flag,mismatch,2,0
86,Blue,qxsw,Boat,Fork,mismatch,2,0
87,Black,rjdnv,Plane,Hand,mismatch,2,0
88,Brown,zbxlv,House,Heart,mismatch,2,0
89,Red,xkq,Cup,House,mismatch,2,0
90,Pink,mtpv,Lamp,Key,mismatch,2,0
91,Brown,zbxlv,House,Lamp,mismatch,2,0
92,Brown,zbxlv,House,Leaf,mismatch,2,0
93,Green,wvcnz,Cross,Lock,mismatch,2,0
94,Black,rjdnv,Plane,Note,mismatch,2,0
95,Blue,qxsw,Boat,Plane,mismatch,2,0
96,Blue,qxsw,Boat,Shoe,mismatch,2,0
97,Blue,qxsw,Boat,Square,mismatch,2,0
98,Black,rjdnv,Plane,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
