,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Blue,qxsw,Boat,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Green,wvcnz,Cross,Boat,match,0,1
3,Brown,zbxlv,House,Bone,match,0,1
4,Pink,mtpv,Lamp,Bow,match,0,1
5,Brown,zbxlv,House,Cane,match,0,1
6,Red,xkq,Cup,Car,match,0,1
7,Pink,mtpv,Lamp,Cross,match,0,1
8,Pink,mtpv,Lamp,Cup,match,0,1
9,Black,rjdnv,Plane,Disc,match,0,1
10,Brown,zbxlv,House,Flag,match,0,1
11,Red,xkq,Cup,Fork,match,0,1
12,Blue,qxsw,Boat,Hand,match,0,1
13,Black,rjdnv,Plane,Heart,match,0,1
14,Red,xkq,Cup,House,match,0,1
15,Black,rjdnv,Plane,Key,match,0,1
16,Green,wvcnz,Cross,Lamp,match,0,1
17,Red,xkq,Cup,Leaf,match,0,1
18,Black,rjdnv,Plane,Lock,match,0,1
19,Blue,qxsw,Boat,Note,match,0,1
20,Pink,mtpv,Lamp,Plane,match,0,1
21,Green,wvcnz,Cross,Shoe,match,0,1
22,Blue,qxsw,Boat,Square,match,0,1
23,Red,xkq,Cup,Star,match,0,1
24,Brown,zbxlv,House,Tree,match,0,1
25,Black,rjdnv,Plane,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Red,xkq,Cup,Bone,match,0,2
29,Blue,qxsw,Boat,Bow,match,0,2
30,Black,rjdnv,Plane,Cane,match,0,2
31,Green,wvcnz,Cross,Car,match,0,2
32,Blue,qxsw,Boat,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Pink,mtpv,Lamp,Disc,match,0,2
35,Black,rjdnv,Plane,Flag,match,0,2
36,Green,wvcnz,Cross,Fork,match,0,2
37,Brown,zbxlv,House,Hand,match,0,2
38,Green,wvcnz,Cross,Heart,match,0,2
39,Pink,mtpv,Lamp,House,match,0,2
40,Pink,mtpv,Lamp,Key,match,0,2
41,Red,xkq,Cup,Lamp,match,0,2
42,Brown,zbxlv,House,Leaf,match,0,2
43,Black,rjdnv,Plane,Lock,match,0,2
44,Red,xkq,Cup,Note,match,0,2
45,Red,xkq,Cup,Plane,match,0,2
46,Green,wvcnz,Cross,Shoe,match,0,2
47,Blue,qxsw,Boat,Square,match,0,2
48,Brown,zbxlv,House,Star,match,0,2
49,Blue,qxsw,Boat,Tree,match,0,2
50,Green,wvcnz,Cross,Bag,mismatch,1,0
51,Brown,zbxlv,House,Bell,mismatch,1,0
52,Pink,mtpv,Lamp,Boat,mismatch,1,0
53,Red,xkq,Cup,Bone,mismatch,1,0
54,Pink,mtpv,Lamp,Bow,mismatch,1,0
55,Pink,mtpv,Lamp,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Green,wvcnz,Cross,Cup,mismatch,1,0
59,Blue,qxsw,Boat,Disc,mismatch,1,0
60,Blue,qxsw,Boat,Flag,mismatch,1,0
61,Red,xkq,Cup,Fork,mismatch,1,0
62,Black,rjdnv,Plane,Hand,mismatch,1,0
63,Pink,mtpv,Lamp,Heart,mismatch,1,0
64,Red,xkq,Cup,House,mismatch,1,0
65,Black,rjdnv,Plane,Key,mismatch,1,0
66,Black,rjdnv,Plane,Lamp,mismatch,1,0
67,Brown,zbxlv,House,Leaf,mismatch,1,0
68,Brown,zbxlv,House,Lock,mismatch,1,0
69,Red,xkq,Cup,Note,mismatch,1,0
70,Blue,qxsw,Boat,Plane,mismatch,1,0
71,Brown,zbxlv,House,Shoe,mismatch,1,0
72,Green,wvcnz,Cross,Square,mismatch,1,0
73,Blue,qxsw,Boat,Star,mismatch,1,0
74,Green,wvcnz,Cross,Tree,mismatch,1,0
75,Blue,qxsw,Boat,Bag,mismatch,2,0
76,Green,wvcnz,Cross,Bell,mismatch,2,0
77,Black,rjdnv,Plane,Boat,mismatch,2,0
78,Green,wvcnz,Cross,Bone,mismatch,2,0
79,Brown,zbxlv,House,Bow,mismatch,2,0
80,Pink,mtpv,Lamp,Cane,mismatch,2,0
81,Green,wvcnz,Cross,Car,mismatch,2,0
82,Red,xkq,Cup,Cross,mismatch,2,0
83,Black,rjdnv,Plane,Cup,mismatch,2,0
84,Red,xkq,Cup,Disc,mismatch,2,0
85,Blue,qxsw,Boat,Flag,mismatch,2,0
86,Blue,qxsw,Boat,Fork,mismatch,2,0
87,Brown,zbxlv,House,Hand,mismatch,2,0
88,Green,wvcnz,Cross,Heart,mismatch,2,0
89,Black,rjdnv,Plane,House,mismatch,2,0
90,Blue,qxsw,Boat,Key,mismatch,2,0
91,Black,rjdnv,Plane,Lamp,mismatch,2,0
92,Pink,mtpv,Lamp,Leaf,mismatch,2,0
93,Pink,mtpv,Lamp,Lock,mismatch,2,0
94,Brown,zbxlv,House,Note,mismatch,2,0
95,Brown,zbxlv,House,Plane,mismatch,2,0
96,Pink,mtpv,Lamp,Shoe,mismatch,2,0
97,Red,xkq,Cup,Square,mismatch,2,0
98,Red,xkq,Cup,Star,mismatch,2,0
99,Red,xkq,Cup,Tree,mismatch,2,0
