,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Green,wvcnz,Cross,Bag,match,0,1
1,Black,rjdnv,Plane,Bell,match,0,1
2,Green,wvcnz,Cross,Boat,match,0,1
3,Red,xkq,Cup,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Pink,mtpv,Lamp,Cane,match,0,1
6,Black,rjdnv,Plane,Car,match,0,1
7,Blue,qxsw,Boat,Cross,match,0,1
8,Blue,qxsw,Boat,Cup,match,0,1
9,Green,wvcnz,Cross,Disc,match,0,1
10,Red,xkq,Cup,Flag,match,0,1
11,Black,rjdnv,Plane,Fork,match,0,1
12,Green,wvcnz,Cross,Hand,match,0,1
13,Blue,qxsw,Boat,Heart,match,0,1
14,Blue,qxsw,Boat,House,match,0,1
15,Pink,mtpv,Lamp,Key,match,0,1
16,Brown,zbxlv,House,Lamp,match,0,1
17,Brown,zbxlv,House,Leaf,match,0,1
18,Brown,zbxlv,House,Lock,match,0,1
19,Brown,zbxlv,House,Note,match,0,1
20,Red,xkq,Cup,Plane,match,0,1
21,Brown,zbxlv,House,Shoe,match,0,1
22,Red,xkq,Cup,Square,match,0,1
23,Pink,mtpv,Lamp,Star,match,0,1
24,Pink,mtpv,Lamp,Tree,match,0,1
25,Red,xkq,Cup,Bag,match,0,2
26,Brown,zbxlv,House,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Black,rjdnv,Plane,Bone,match,0,2
29,Green,wvcnz,Cross,Bow,match,0,2
30,Pink,mtpv,Lamp,Cane,match,0,2
31,Black,rjdnv,Plane,Car,match,0,2
32,Brown,zbxlv,House,Cross,match,0,2
33,Green,wvcnz,Cross,Cup,match,0,2
34,Red,xkq,Cup,Disc,match,0,2
35,Pink,mtpv,Lamp,Flag,match,0,2
36,Brown,zbxlv,House,Fork,match,0,2
37,Green,wvcnz,Cross,Hand,match,0,2
38,Pink,mtpv,Lamp,Heart,match,0,2
39,Red,xkq,Cup,House,match,0,2
40,Pink,mtpv,Lamp,Key,match,0,2
41,Blue,qxsw,Boat,Lamp,match,0,2
42,Red,xkq,Cup,Leaf,match,0,2
43,Blue,qxsw,Boat,Lock,match,0,2
44,Black,rjdnv,Plane,Note,match,0,2
45,Blue,qxsw,Boat,Plane,match,0,2
46,Green,wvcnz,Cross,Shoe,match,0,2
47,Brown,zbxlv,House,Square,match,0,2
48,Blue,qxsw,Boat,Star,match,0,2
49,Black,rjdnv,Plane,Tree,match,0,2
50,Pink,mtpv,Lamp,Bag,mismatch,1,0
51,Blue,qxsw,Boat,Bell,mismatch,1,0
52,Pink,mtpv,Lamp,Boat,mismatch,1,0
53,Green,wvcnz,Cross,Bone,mismatch,1,0
54,Red,xkq,Cup,Bow,mismatch,1,0
55,Red,xkq,Cup,Cane,mismatch,1,0
56,Pink,mtpv,Lamp,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Pink,mtpv,Lamp,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Green,wvcnz,Cross,Fork,mismatch,1,0
62,Black,rjdnv,Plane,Hand,mismatch,1,0
63,Brown,zbxlv,House,Heart,mismatch,1,0
64,Blue,qxsw,Boat,House,mismatch,1,0
65,Brown,zbxlv,House,Key,mismatch,1,0
66,Brown,zbxlv,House,Lamp,mismatch,1,0
67,Red,xkq,Cup,Leaf,mismatch,1,0
68,Black,rjdnv,Plane,Lock,mismatch,1,0
69,Blue,qxsw,Boat,Note,mismatch,1,0
70,Green,wvcnz,Cross,Plane,mismatch,1,0
71,Blue,qxsw,Boat,Shoe,mismatch,1,0
72,Brown,zbxlv,House,Square,mismatch,1,0
73,Black,rjdnv,Plane,Star,mismatch,1,0
74,Brown,zbxlv,House,Tree,mismatch,1,0
75,Blue,qxsw,Boat,Bag,mismatch,2,0
76,Brown,zbxlv,House,Bell,mismatch,2,0
77,Green,wvcnz,Cross,Boat,mismatch,2,0
78,Pink,mtpv,Lamp,Bone,mismatch,2,0
79,Brown,zbxlv,House,Bow,mismatch,2,0
80,Blue,qxsw,Boat,Cane,mismatch,2,0
81,Red,xkq,Cup,Car,mismatch,2,0
82,Brown,zbxlv,House,Cross,mismatch,2,0
83,Brown,zbxlv,House,Cup,mismatch,2,0
84,Black,rjdnv,Plane,Disc,mismatch,2,0
85,Green,wvcnz,Cross,Flag,mismatch,2,0
86,Blue,qxsw,Boat,Fork,mismatch,2,0
87,Pink,mtpv,Lamp,Hand,mismatch,2,0
88,Brown,zbxlv,House,Heart,mismatch,2,0
89,Black,rjdnv,Plane,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Black,rjdnv,Plane,Lamp,mismatch,2,0
92,Green,wvcnz,Cross,Leaf,mismatch,2,0
93,Pink,mtpv,Lamp,Lock,mismatch,2,0
94,Pink,mtpv,Lamp,Note,mismatch,2,0
95,Blue,qxsw,Boat,Plane,mismatch,2,0
96,Green,wvcnz,Cross,Shoe,mismatch,2,0
97,Black,rjdnv,Plane,Square,mismatch,2,0
98,Red,xkq,Cup,Star,mismatch,2,0
99,Red,xkq,Cup,Tree,mismatch,2,0
