,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Blue,qxsw,Boat,Bag,match,0,1
1,Brown,zbxlv,House,Bell,match,0,1
2,Brown,zbxlv,House,Boat,match,0,1
3,Green,wvcnz,Cross,Bone,match,0,1
4,Blue,qxsw,Boat,Bow,match,0,1
5,Red,xkq,Cup,Cane,match,0,1
6,Black,rjdnv,Plane,Car,match,0,1
7,Brown,zbxlv,House,Cross,match,0,1
8,Brown,zbxlv,House,Cup,match,0,1
9,Pink,mtpv,Lamp,Disc,match,0,1
10,Black,rjdnv,Plane,Flag,match,0,1
11,Blue,qxsw,Boat,Fork,match,0,1
12,Green,wvcnz,Cross,Hand,match,0,1
13,Green,wvcnz,Cross,Heart,match,0,1
14,Green,wvcnz,Cross,House,match,0,1
15,Blue,qxsw,Boat,Key,match,0,1
16,Red,xkq,Cup,Lamp,match,0,1
17,Red,xkq,Cup,Leaf,match,0,1
18,Pink,mtpv,Lamp,Lock,match,0,1
19,Pink,mtpv,Lamp,Note,match,0,1
20,Red,xkq,Cup,Plane,match,0,1
21,Black,rjdnv,Plane,Shoe,match,0,1
22,Black,rjdnv,Plane,Square,match,0,1
23,Green,wvcnz,Cross,Star,match,0,1
24,Pink,mtpv,Lamp,Tree,match,0,1
25,Brown,zbxlv,House,Bag,match,0,2
26,Brown,zbxlv,House,Bell,match,0,2
27,Green,wvcnz,Cross,Boat,match,0,2
28,Black,rjdnv,Plane,Bone,match,0,2
29,Blue,qxsw,Boat,Bow,match,0,2
30,Black,rjdnv,Plane,Cane,match,0,2
31,Green,wvcnz,Cross,Car,match,0,2
32,Black,rjdnv,Plane,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Blue,qxsw,Boat,Disc,match,0,2
35,Pink,mtpv,Lamp,Flag,match,0,2
36,Pink,mtpv,Lamp,Fork,match,0,2
37,Red,xkq,Cup,Hand,match,0,2
38,Red,xkq,Cup,Heart,match,0,2
39,Pink,mtpv,Lamp,House,match,0,2
40,Black,rjdnv,Plane,Key,match,0,2
41,Blue,qxsw,Boat,Lamp,match,0,2
42,Brown,zbxlv,House,Leaf,match,0,2
43,Red,xkq,Cup,Lock,match,0,2
44,Green,wvcnz,Cross,Note,match,0,2
45,Red,xkq,Cup,Plane,match,0,2
46,Green,wvcnz,Cross,Shoe,match,0,2
47,Brown,zbxlv,House,Square,match,0,2
48,Green,wvcnz,Cross,Star,match,0,2
49,Blue,qxsw,Boat,Tree,match,0,2
50,Green,wvcnz,Cross,Bag,mismatch,1,0
51,Red,xkq,Cup,Bell,mismatch,1,0
52,Brown,zbxlv,House,Boat,mismatch,1,0
53,Blue,qxsw,Boat,Bone,mismatch,1,0
54,Green,wvcnz,Cross,Bow,mismatch,1,0
55,Blue,qxsw,Boat,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Pink,mtpv,Lamp,Cross,mismatch,1,0
58,Brown,zbxlv,House,Cup,mismatch,1,0
59,Red,xkq,Cup,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Black,rjdnv,Plane,Fork,mismatch,1,0
62,Pink,mtpv,Lamp,Hand,mismatch,1,0
63,Brown,zbxlv,House,Heart,mismatch,1,0
64,Blue,qxsw,Boat,House,mismatch,1,0
65,Green,wvcnz,Cross,Key,mismatch,1,0
66,Brown,zbxlv,House,Lamp,mismatch,1,0
67,Black,rjdnv,Plane,Leaf,mismatch,1,0
68,Green,wvcnz,Cross,Lock,mismatch,1,0
69,Blue,qxsw,Boat,Note,mismatch,1,0
70,Pink,mtpv,Lamp,Plane,mismatch,1,0
71,Pink,mtpv,Lamp,Shoe,mismatch,1,0
72,Red,xkq,Cup,Square,mismatch,1,0
73,Black,rjdnv,Plane,Star,mismatch,1,0
74,Red,xkq,Cup,Tree,mismatch,1,0
75,Green,wvcnz,Cross,Bag,mismatch,2,0
76,Green,wvcnz,Cross,Bell,mismatch,2,0
77,Black,rjdnv,Plane,Boat,mismatch,2,0
78,Brown,zbxlv,House,Bone,mismatch,2,0
79,Red,xkq,Cup,Bow,mismatch,2,0
80,Pink,mtpv,Lamp,Cane,mismatch,2,0
81,Red,xkq,Cup,Car,mismatch,2,0
82,Blue,qxsw,Boat,Cross,mismatch,2,0
83,Black,rjdnv,Plane,Cup,mismatch,2,0
84,Green,wvcnz,Cross,Disc,mismatch,2,0
85,Brown,zbxlv,House,Flag,mismatch,2,0
86,Black,rjdnv,Plane,Fork,mismatch,2,0
87,Black,rjdnv,Plane,Hand,mismatch,2,0
88,Red,xkq,Cup,Heart,mismatch,2,0
89,Pink,mtpv,Lamp,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Blue,qxsw,Boat,Lamp,mismatch,2,0
92,Pink,mtpv,Lamp,Leaf,mismatch,2,0
93,Blue,qxsw,Boat,Lock,mismatch,2,0
94,Brown,zbxlv,House,Note,mismatch,2,0
95,Green,wvcnz,Cross,Plane,mismatch,2,0
96,Blue,qxsw,Boat,Shoe,mismatch,2,0
97,Green,wvcnz,Cross,Square,mismatch,2,0
98,Brown,zbxlv,House,Star,mismatch,2,0
99,Pink,mtpv,Lamp,Tree,mismatch,2,0
