,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Blue,qxsw,Boat,Bag,match,0,1
1,Red,xkq,Cup,Bell,match,0,1
2,Pink,mtpv,Lamp,Boat,match,0,1
3,Pink,mtpv,Lamp,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Pink,mtpv,Lamp,Cane,match,0,1
6,Blue,qxsw,Boat,Car,match,0,1
7,Pink,mtpv,Lamp,Cross,match,0,1
8,Green,wvcnz,Cross,Cup,match,0,1
9,Blue,qxsw,Boat,Disc,match,0,1
10,Red,xkq,Cup,Flag,match,0,1
11,Black,rjdnv,Plane,Fork,match,0,1
12,Green,wvcnz,Cross,Hand,match,0,1
13,Brown,zbxlv,House,Heart,match,0,1
14,Black,rjdnv,Plane,House,match,0,1
15,Green,wvcnz,Cross,Key,match,0,1
16,Green,wvcnz,Cross,Lamp,match,0,1
17,Brown,zbxlv,House,Leaf,match,0,1
18,Brown,zbxlv,House,Lock,match,0,1
19,Red,xkq,Cup,Note,match,0,1
20,Blue,qxsw,Boat,Plane,match,0,1
21,Brown,zbxlv,House,Shoe,match,0,1
22,Black,rjdnv,Plane,Square,match,0,1
23,Green,wvcnz,Cross,Star,match,0,1
24,Red,xkq,Cup,Tree,match,0,1
25,Red,xkq,Cup,Bag,match,0,2
26,Black,rjdnv,Plane,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Pink,mtpv,Lamp,Bone,match,0,2
29,Brown,zbxlv,House,Bow,match,0,2
30,Black,rjdnv,Plane,Cane,match,0,2
31,Black,rjdnv,Plane,Car,match,0,2
32,Red,xkq,Cup,Cross,match,0,2
33,Brown,zbxlv,House,Cup,match,0,2
34,Blue,qxsw,Boat,Disc,match,0,2
35,Green,wvcnz,Cross,Flag,match,0,2
36,Brown,zbxlv,House,Fork,match,0,2
37,Pink,mtpv,Lamp,Hand,match,0,2
38,Blue,qxsw,Boat,Heart,match,0,2
39,Green,wvcnz,Cross,House,match,0,2
40,Green,wvcnz,Cross,Key,match,0,2
41,Black,rjdnv,Plane,Lamp,match,0,2
42,Red,xkq,Cup,Leaf,match,0,2
43,Green,wvcnz,Cross,Lock,match,0,2
44,Green,wvcnz,Cross,Note,match,0,2
45,Pink,mtpv,Lamp,Plane,match,0,2
46,Blue,qxsw,Boat,Shoe,match,0,2
47,Pink,mtpv,Lamp,Square,match,0,2
48,Red,xkq,Cup,Star,match,0,2
49,Blue,qxsw,Boat,Tree,match,0,2
50,Brown,zbxlv,House,Bag,mismatch,1,0
51,Blue,qxsw,Boat,Bell,mismatch,1,0
52,Green,wvcnz,Cross,Boat,mismatch,1,0
53,Brown,zbxlv,House,Bone,mismatch,1,0
54,Pink,mtpv,Lamp,Bow,mismatch,1,0
55,Pink,mtpv,Lamp,Cane,mismatch,1,0
56,Pink,mtpv,Lamp,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Blue,qxsw,Boat,Cup,mismatch,1,0
59,Brown,zbxlv,House,Disc,mismatch,1,0
60,Blue,qxsw,Boat,Flag,mismatch,1,0
61,Green,wvcnz,Cross,Fork,mismatch,1,0
62,Red,xkq,Cup,Hand,mismatch,1,0
63,Black,rjdnv,Plane,Heart,mismatch,1,0
64,Green,wvcnz,Cross,House,mismatch,1,0
65,Red,xkq,Cup,Key,mismatch,1,0
66,Black,rjdnv,Plane,Lamp,mismatch,1,0
67,Red,xkq,Cup,Leaf,mismatch,1,0
68,Black,rjdnv,Plane,Lock,mismatch,1,0
69,Blue,qxsw,Boat,Note,mismatch,1,0
70,Brown,zbxlv,House,Plane,mismatch,1,0
71,Green,wvcnz,Cross,Shoe,mismatch,1,0
72,Pink,mtpv,Lamp,Square,mismatch,1,0
73,Black,rjdnv,Plane,Star,mismatch,1,0
74,Green,wvcnz,Cross,Tree,mismatch,1,0
75,Blue,qxsw,Boat,Bag,mismatch,2,0
76,Red,xkq,Cup,Bell,mismatch,2,0
77,Black,rjdnv,Plane,Boat,mismatch,2,0
78,Black,rjdnv,Plane,Bone,mismatch,2,0
79,Brown,zbxlv,House,Bow,mismatch,2,0
80,Red,xkq,Cup,Cane,mismatch,2,0
81,Green,wvcnz,Cross,Car,mismatch,2,0
82,Black,rjdnv,Plane,Cross,mismatch,2,0
83,Brown,zbxlv,House,Cup,mismatch,2,0
84,Pink,mtpv,Lamp,Disc,mismatch,2,0
85,Pink,mtpv,Lamp,Flag,mismatch,2,0
86,Red,xkq,Cup,Fork,mismatch,2,0
87,Brown,zbxlv,House,Hand,mismatch,2,0
88,Pink,mtpv,Lamp,Heart,mismatch,2,0
89,Blue,qxsw,Boat,House,mismatch,2,0
90,Pink,mtpv,Lamp,Key,mismatch,2,0
91,Brown,zbxlv,House,Lamp,mismatch,2,0
92,Blue,qxsw,Boat,Leaf,mismatch,2,0
93,Blue,qxsw,Boat,Lock,mismatch,2,0
94,Red,xkq,Cup,Note,mismatch,2,0
95,Green,wvcnz,Cross,Plane,mismatch,2,0
96,Black,rjdnv,Plane,Shoe,mismatch,2,0
97,Green,wvcnz,Cross,Square,mismatch,2,0
98,Green,wvcnz,Cross,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
