,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Green,wvcnz,Cross,Bag,match,0,1
1,Green,wvcnz,Cross,Bell,match,0,1
2,Brown,zbxlv,House,Boat,match,0,1
3,Red,xkq,Cup,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Pink,mtpv,Lamp,Cane,match,0,1
6,Red,xkq,Cup,Car,match,0,1
7,Pink,mtpv,Lamp,Cross,match,0,1
8,Brown,zbxlv,House,Cup,match,0,1
9,Black,rjdnv,Plane,Disc,match,0,1
10,Blue,qxsw,Boat,Flag,match,0,1
11,Blue,qxsw,Boat,Fork,match,0,1
12,Brown,zbxlv,House,Hand,match,0,1
13,Blue,qxsw,Boat,Heart,match,0,1
14,Green,wvcnz,Cross,House,match,0,1
15,Pink,mtpv,Lamp,Key,match,0,1
16,Black,rjdnv,Plane,Lamp,match,0,1
17,Pink,mtpv,Lamp,Leaf,match,0,1
18,Pink,mtpv,Lamp,Lock,match,0,1
19,Green,wvcnz,Cross,Note,match,0,1
20,Brown,zbxlv,House,Plane,match,0,1
21,Red,xkq,Cup,Shoe,match,0,1
22,Red,xkq,Cup,Square,match,0,1
23,Black,rjdnv,Plane,Star,match,0,1
24,Blue,qxsw,Boat,Tree,match,0,1
25,Pink,mtpv,Lamp,Bag,match,0,2
26,Pink,mtpv,Lamp,Bell,match,0,2
27,Green,wvcnz,Cross,Boat,match,0,2
28,Black,rjdnv,Plane,Bone,match,0,2
29,Blue,qxsw,Boat,Bow,match,0,2
30,Black,rjdnv,Plane,Cane,match,0,2
31,Pink,mtpv,Lamp,Car,match,0,2
32,Brown,zbxlv,House,Cross,match,0,2
33,Blue,qxsw,Boat,Cup,match,0,2
34,Red,xkq,Cup,Disc,match,0,2
35,Green,wvcnz,Cross,Flag,match,0,2
36,Black,rjdnv,Plane,Fork,match,0,2
37,Blue,qxsw,Boat,Hand,match,0,2
38,Green,wvcnz,Cross,Heart,match,0,2
39,Red,xkq,Cup,House,match,0,2
40,Brown,zbxlv,House,Key,match,0,2
41,Brown,zbxlv,House,Lamp,match,0,2
42,Red,xkq,Cup,Leaf,match,0,2
43,Pink,mtpv,Lamp,Lock,match,0,2
44,Pink,mtpv,Lamp,Note,match,0,2
45,Blue,qxsw,Boat,Plane,match,0,2
46,Black,rjdnv,Plane,Shoe,match,0,2
47,Brown,zbxlv,House,Square,match,0,2
48,Green,wvcnz,Cross,Star,match,0,2
49,Red,xkq,Cup,Tree,match,0,2
50,Brown,zbxlv,House,Bag,mismatch,1,0
51,Black,rjdnv,Plane,Bell,mismatch,1,0
52,Pink,mtpv,Lamp,Boat,mismatch,1,0
53,Blue,qxsw,Boat,Bone,mismatch,1,0
54,Brown,zbxlv,House,Bow,mismatch,1,0
55,Green,wvcnz,Cross,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Blue,qxsw,Boat,Cross,mismatch,1,0
58,Green,wvcnz,Cross,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Pink,mtpv,Lamp,Flag,mismatch,1,0
61,Red,xkq,Cup,Fork,mismatch,1,0
62,Brown,zbxlv,House,Hand,mismatch,1,0
63,Pink,mtpv,Lamp,Heart,mismatch,1,0
64,Red,xkq,Cup,House,mismatch,1,0
65,Green,wvcnz,Cross,Key,mismatch,1,0
66,Black,rjdnv,Plane,Lamp,mismatch,1,0
67,Blue,qxsw,Boat,Leaf,mismatch,1,0
68,Red,xkq,Cup,Lock,mismatch,1,0
69,Brown,zbxlv,House,Note,mismatch,1,0
70,Blue,qxsw,Boat,Plane,mismatch,1,0
71,Red,xkq,Cup,Shoe,mismatch,1,0
72,Pink,mtpv,Lamp,Square,mismatch,1,0
73,Pink,mtpv,Lamp,Star,mismatch,1,0
74,Green,wvcnz,Cross,Tree,mismatch,1,0
75,Brown,zbxlv,House,Bag,mismatch,2,0
76,Red,xkq,Cup,Bell,mismatch,2,0
77,Brown,zbxlv,House,Boat,mismatch,2,0
78,Brown,zbxlv,House,Bone,mismatch,2,0
79,Pink,mtpv,Lamp,Bow,mismatch,2,0
80,Red,xkq,Cup,Cane,mismatch,2,0
81,Pink,mtpv,Lamp,Car,mismatch,2,0
82,Black,rjdnv,Plane,Cross,mismatch,2,0
83,Green,wvcnz,Cross,Cup,mismatch,2,0
84,Pink,mtpv,Lamp,Disc,mismatch,2,0
85,Black,rjdnv,Plane,Flag,mismatch,2,0
86,Black,rjdnv,Plane,Fork,mismatch,2,0
87,Red,xkq,Cup,Hand,mismatch,2,0
88,Green,wvcnz,Cross,Heart,mismatch,2,0
89,Blue,qxsw,Boat,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Blue,qxsw,Boat,Lamp,mismatch,2,0
92,Black,rjdnv,Plane,Leaf,mismatch,2,0
93,Brown,zbxlv,House,Lock,mismatch,2,0
94,Blue,qxsw,Boat,Note,mismatch,2,0
95,Green,wvcnz,Cross,Plane,mismatch,2,0
96,Pink,mtpv,Lamp,Shoe,mismatch,2,0
97,Pink,mtpv,Lamp,Square,mismatch,2,0
98,Blue,qxsw,Boat,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
