,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Blue,qxsw,Boat,Bag,match,0,1
1,Pink,mtpv,Lamp,Bell,match,0,1
2,Black,rjdnv,Plane,Boat,match,0,1
3,Black,rjdnv,Plane,Bone,match,0,1
4,Brown,zbxlv,House,Bow,match,0,1
5,Brown,zbxlv,House,Cane,match,0,1
6,Green,wvcnz,Cross,Car,match,0,1
7,Blue,qxsw,Boat,Cross,match,0,1
8,Blue,qxsw,Boat,Cup,match,0,1
9,Red,xkq,Cup,Disc,match,0,1
10,Black,rjdnv,Plane,Flag,match,0,1
11,Pink,mtpv,Lamp,Fork,match,0,1
12,Blue,qxsw,Boat,Hand,match,0,1
13,Green,wvcnz,Cross,Heart,match,0,1
14,Red,xkq,Cup,House,match,0,1
15,Green,wvcnz,Cross,Key,match,0,1
16,Brown,zbxlv,House,Lamp,match,0,1
17,Black,rjdnv,Plane,Leaf,match,0,1
18,Red,xkq,Cup,Lock,match,0,1
19,Brown,zbxlv,House,Note,match,0,1
20,Pink,mtpv,Lamp,Plane,match,0,1
21,Black,rjdnv,Plane,Shoe,match,0,1
22,Green,wvcnz,Cross,Square,match,0,1
23,Red,xkq,Cup,Star,match,0,1
24,Pink,mtpv,Lamp,Tree,match,0,1
25,Black,rjdnv,Plane,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Blue,qxsw,Boat,Bone,match,0,2
29,Red,xkq,Cup,Bow,match,0,2
30,Black,rjdnv,Plane,Cane,match,0,2
31,Blue,qxsw,Boat,Car,match,0,2
32,Red,xkq,Cup,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Black,rjdnv,Plane,Disc,match,0,2
35,Green,wvcnz,Cross,Flag,match,0,2
36,Black,rjdnv,Plane,Fork,match,0,2
37,Black,rjdnv,Plane,Hand,match,0,2
38,Pink,mtpv,Lamp,Heart,match,0,2
39,Green,wvcnz,Cross,House,match,0,2
40,Pink,mtpv,Lamp,Key,match,0,2
41,Blue,qxsw,Boat,Lamp,match,0,2
42,Brown,zbxlv,House,Leaf,match,0,2
43,Pink,mtpv,Lamp,Lock,match,0,2
44,Blue,qxsw,Boat,Note,match,0,2
45,Brown,zbxlv,House,Plane,match,0,2
46,Green,wvcnz,Cross,Shoe,match,0,2
47,Red,xkq,Cup,Square,match,0,2
48,Green,wvcnz,Cross,Star,match,0,2
49,Brown,zbxlv,House,Tree,match,0,2
50,Blue,qxsw,Boat,Bag,mismatch,1,0
51,Green,wvcnz,Cross,Bell,mismatch,1,0
52,Black,rjdnv,Plane,Boat,mismatch,1,0
53,Blue,qxsw,Boat,Bone,mismatch,1,0
54,Red,xkq,Cup,Bow,mismatch,1,0
55,Blue,qxsw,Boat,Cane,mismatch,1,0
56,Blue,qxsw,Boat,Car,mismatch,1,0
57,Red,xkq,Cup,Cross,mismatch,1,0
58,Green,wvcnz,Cross,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Brown,zbxlv,House,Flag,mismatch,1,0
61,Brown,zbxlv,House,Fork,mismatch,1,0
62,Brown,zbxlv,House,Hand,mismatch,1,0
63,Pink,mtpv,Lamp,Heart,mismatch,1,0
64,Pink,mtpv,Lamp,House,mismatch,1,0
65,Pink,mtpv,Lamp,Key,mismatch,1,0
66,Brown,zbxlv,House,Lamp,mismatch,1,0
67,Green,wvcnz,Cross,Leaf,mismatch,1,0
68,Pink,mtpv,Lamp,Lock,mismatch,1,0
69,Black,rjdnv,Plane,Note,mismatch,1,0
70,Green,wvcnz,Cross,Plane,mismatch,1,0
71,Red,xkq,Cup,Shoe,mismatch,1,0
72,Black,rjdnv,Plane,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Black,rjdnv,Plane,Tree,mismatch,1,0
75,Brown,zbxlv,House,Bag,mismatch,2,0
76,Brown,zbxlv,House,Bell,mismatch,2,0
77,Red,xkq,Cup,Boat,mismatch,2,0
78,Pink,mtpv,Lamp,Bone,mismatch,2,0
79,Black,rjdnv,Plane,Bow,mismatch,2,0
80,Pink,mtpv,Lamp,Cane,mismatch,2,0
81,Brown,zbxlv,House,Car,mismatch,2,0
82,Black,rjdnv,Plane,Cross,mismatch,2,0
83,Blue,qxsw,Boat,Cup,mismatch,2,0
84,Pink,mtpv,Lamp,Disc,mismatch,2,0
85,Red,xkq,Cup,Flag,mismatch,2,0
86,Pink,mtpv,Lamp,Fork,mismatch,2,0
87,Green,wvcnz,Cross,Hand,mismatch,2,0
88,Red,xkq,Cup,Heart,mismatch,2,0
89,Blue,qxsw,Boat,House,mismatch,2,0
90,Blue,qxsw,Boat,Key,mismatch,2,0
91,Green,wvcnz,Cross,Lamp,mismatch,2,0
92,Black,rjdnv,Plane,Leaf,mismatch,2,0
93,Brown,zbxlv,House,Lock,mismatch,2,0
94,Black,rjdnv,Plane,Note,mismatch,2,0
95,Green,wvcnz,Cross,Plane,mismatch,2,0
96,Red,xkq,Cup,Shoe,mismatch,2,0
97,Blue,qxsw,Boat,Square,mismatch,2,0
98,Black,rjdnv,Plane,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
